"","Country","Year","Disease","Value"
"193","Albania",2019,"Collective violence and legal intervention",0
"194","Algeria",2019,"Tuberculosis",6.7
"195","Algeria",2019,"STDs excluding HIV",0.1
"196","Algeria",2019,"HIV/AIDS",0.4
"197","Algeria",2019,"Diarrhoeal diseases",2.2
"198","Algeria",2019,"Childhood-cluster diseases",0.5
"199","Algeria",2019,"Meningitis",0.7
"200","Algeria",2019,"Encephalitis",0.3
"201","Algeria",2019,"Hepatitis",0.5
"202","Algeria",2019,"Parasitic and vector diseases",0.2
"203","Algeria",2019,"Intestinal nematode infections",0
"204","Algeria",2019,"Other infectious diseases",0.6
"205","Algeria",2019,"Lower respiratory infections",17.4
"206","Algeria",2019,"Upper respiratory infections",0
"207","Algeria",2019,"Otitis media",0
"208","Algeria",2019,"Preterm birth complications",6.7
"209","Algeria",2019,"Birth asphyxia and birth trauma",4.6
"210","Algeria",2019,"Neonatal sepsis and infections",2.9
"211","Algeria",2019,"Other neonatal conditions",1.3
"212","Algeria",2019,"Protein-energy malnutrition",0.2
"213","Algeria",2019,"Other nutritional deficiencies",0.1
"214","Algeria",2019,"Mouth and oropharynx cancers",1.9
"215","Algeria",2019,"Oesophagus cancer",0.9
"216","Algeria",2019,"Stomach cancer",5.6
"217","Algeria",2019,"Colon and rectum cancers",8.7
"218","Algeria",2019,"Liver cancer",1.5
"219","Algeria",2019,"Pancreas cancer",2.7
"220","Algeria",2019,"Trachea, bronchus, lung cancers",11
"221","Algeria",2019,"Melanoma and other skin cancers",2
"222","Algeria",2019,"Breast cancer",9.1
"223","Algeria",2019,"Cervix uteri cancer",3
"224","Algeria",2019,"Corpus uteri cancer",0.2
"225","Algeria",2019,"Ovary cancer",1.7
"226","Algeria",2019,"Prostate cancer",3.1
"227","Algeria",2019,"Testicular cancer",0.1
"228","Algeria",2019,"Kidney cancer",1.1
"229","Algeria",2019,"Bladder cancer",4
"230","Algeria",2019,"Brain and nervous system cancers",3.5
"231","Algeria",2019,"Gallbladder and biliary tract cancer",2.1
"232","Algeria",2019,"Larynx cancer",2.2
"233","Algeria",2019,"Thyroid cancer",0.8
"234","Algeria",2019,"Mesothelioma",0.2
"235","Algeria",2019,"Lymphomas, multiple myeloma",5.1
"236","Algeria",2019,"Leukaemia",3
"237","Algeria",2019,"Other malignant neoplasms",9.8
"238","Algeria",2019,"Thalassaemias",0.1
"239","Algeria",2019,"Sickle cell disorders and trait",0.1
"240","Algeria",2019,"Other haemoglobinopathies and haemolytic anaemias",0.2
"241","Algeria",2019,"Other endocrine, blood and immune disorders",1.8
"242","Algeria",2019,"Alcohol use disorders",0.2
"243","Algeria",2019,"Drug use disorders",2.5
"244","Algeria",2019,"Eating disorders",0
"245","Algeria",2019,"Alzheimer disease and other dementias",16.1
"246","Algeria",2019,"Parkinson disease",3.6
"247","Algeria",2019,"Epilepsy",0.8
"248","Algeria",2019,"Multiple sclerosis",0.2
"249","Algeria",2019,"Other neurological conditions",0.4
"250","Algeria",2019,"Rheumatic heart disease",1
"251","Algeria",2019,"Hypertensive heart disease",23.8
"252","Algeria",2019,"Ischaemic heart disease",154.4
"253","Algeria",2019,"Stroke",66.3
"254","Algeria",2019,"Cardiomyopathy, myocarditis, endocarditis",2.2
"255","Algeria",2019,"Other circulatory diseases",11.1
"256","Algeria",2019,"Chronic obstructive pulmonary disease",13.3
"257","Algeria",2019,"Asthma",5.7
"258","Algeria",2019,"Other respiratory diseases",0.9
"259","Algeria",2019,"Peptic ulcer disease",2
"260","Algeria",2019,"Cirrhosis of the liver",9.5
"261","Algeria",2019,"Appendicitis",0.2
"262","Algeria",2019,"Gastritis and duodenitis",0.1
"263","Algeria",2019,"Paralytic ileus and intestinal obstruction",1.2
"264","Algeria",2019,"Inflammatory bowel disease",0.1
"265","Algeria",2019,"Gallbladder and biliary diseases",0.9
"266","Algeria",2019,"Pancreatitis",0.5
"267","Algeria",2019,"Other digestive diseases",1.1
"268","Algeria",2019,"Kidney diseases",21.1
"269","Algeria",2019,"Urolithiasis",0
"270","Algeria",2019,"Other urinary diseases",0.4
"271","Algeria",2019,"Gynecological diseases",0
"272","Algeria",2019,"Rheumatoid arthritis",0.1
"273","Algeria",2019,"Other musculoskeletal disorders",0.4
"274","Algeria",2019,"Neural tube defects",0.4
"275","Algeria",2019,"Cleft lip and cleft palate",0
"276","Algeria",2019,"Down syndrome",0.4
"277","Algeria",2019,"Congenital heart anomalies",2.3
"278","Algeria",2019,"Other chromosomal anomalies",0.4
"279","Algeria",2019,"Other congenital anomalies",2.7
"280","Algeria",2019,"Road injury",21.8
"281","Algeria",2019,"Poisonings",0.7
"282","Algeria",2019,"Falls",3.4
"283","Algeria",2019,"Fire, heat and hot substances",1.5
"284","Algeria",2019,"Drowning",1
"285","Algeria",2019,"Exposure to mechanical forces",1.5
"286","Algeria",2019,"Other unintentional injuries",3.3
"287","Algeria",2019,"Self-harm",2.6
"288","Algeria",2019,"Interpersonal violence",1.7
"289","Algeria",2019,"Collective violence and legal intervention",0.1
"290","Angola",2019,"Tuberculosis",86
"291","Angola",2019,"STDs excluding HIV",2.1
"292","Angola",2019,"HIV/AIDS",50
"293","Angola",2019,"Diarrhoeal diseases",67.1
"294","Angola",2019,"Childhood-cluster diseases",8.1
"295","Angola",2019,"Meningitis",10.2
"296","Angola",2019,"Encephalitis",0.5
"297","Angola",2019,"Hepatitis",1.6
"298","Angola",2019,"Parasitic and vector diseases",54
"299","Angola",2019,"Intestinal nematode infections",0.1
"300","Angola",2019,"Other infectious diseases",6.1
"301","Angola",2019,"Lower respiratory infections",99.4
"302","Angola",2019,"Upper respiratory infections",0.3
"303","Angola",2019,"Otitis media",0
"304","Angola",2019,"Preterm birth complications",10.9
"305","Angola",2019,"Birth asphyxia and birth trauma",12.5
"306","Angola",2019,"Neonatal sepsis and infections",4.7
"307","Angola",2019,"Other neonatal conditions",1.5
"308","Angola",2019,"Protein-energy malnutrition",14.2
"309","Angola",2019,"Other nutritional deficiencies",1
"310","Angola",2019,"Mouth and oropharynx cancers",4.4
"311","Angola",2019,"Oesophagus cancer",2.7
"312","Angola",2019,"Stomach cancer",3
"313","Angola",2019,"Colon and rectum cancers",4.2
"314","Angola",2019,"Liver cancer",4
"315","Angola",2019,"Pancreas cancer",1.3
"316","Angola",2019,"Trachea, bronchus, lung cancers",3.8
"317","Angola",2019,"Melanoma and other skin cancers",4.7
"318","Angola",2019,"Breast cancer",8.5
"319","Angola",2019,"Cervix uteri cancer",15.6
"320","Angola",2019,"Corpus uteri cancer",0.8
"321","Angola",2019,"Ovary cancer",1.6
"322","Angola",2019,"Prostate cancer",13.7
"323","Angola",2019,"Testicular cancer",0.1
"324","Angola",2019,"Kidney cancer",0.8
"325","Angola",2019,"Bladder cancer",1.6
"326","Angola",2019,"Brain and nervous system cancers",0.8
"327","Angola",2019,"Gallbladder and biliary tract cancer",0.3
"328","Angola",2019,"Larynx cancer",1.3
"329","Angola",2019,"Thyroid cancer",0.2
"330","Angola",2019,"Mesothelioma",0.1
"331","Angola",2019,"Lymphomas, multiple myeloma",4.1
"332","Angola",2019,"Leukaemia",2.2
"333","Angola",2019,"Other malignant neoplasms",7.8
"334","Angola",2019,"Thalassaemias",0
"335","Angola",2019,"Sickle cell disorders and trait",1
"336","Angola",2019,"Other haemoglobinopathies and haemolytic anaemias",1.2
"337","Angola",2019,"Other endocrine, blood and immune disorders",2.1
"338","Angola",2019,"Alcohol use disorders",1.6
"339","Angola",2019,"Drug use disorders",1.1
"340","Angola",2019,"Eating disorders",0
"341","Angola",2019,"Alzheimer disease and other dementias",20.1
"342","Angola",2019,"Parkinson disease",4
"343","Angola",2019,"Epilepsy",2.5
"344","Angola",2019,"Multiple sclerosis",0.1
"345","Angola",2019,"Other neurological conditions",0.9
"346","Angola",2019,"Rheumatic heart disease",3.3
"347","Angola",2019,"Hypertensive heart disease",41.4
"348","Angola",2019,"Ischaemic heart disease",107.9
"349","Angola",2019,"Stroke",112.3
"350","Angola",2019,"Cardiomyopathy, myocarditis, endocarditis",9.8
"351","Angola",2019,"Other circulatory diseases",17.1
"352","Angola",2019,"Chronic obstructive pulmonary disease",28.3
"353","Angola",2019,"Asthma",13.9
"354","Angola",2019,"Other respiratory diseases",1.8
"355","Angola",2019,"Peptic ulcer disease",5.9
"356","Angola",2019,"Cirrhosis of the liver",46.6
"357","Angola",2019,"Appendicitis",0.9
"358","Angola",2019,"Gastritis and duodenitis",2.1
"359","Angola",2019,"Paralytic ileus and intestinal obstruction",6.6
"360","Angola",2019,"Inflammatory bowel disease",0.6
"361","Angola",2019,"Gallbladder and biliary diseases",4
"362","Angola",2019,"Pancreatitis",1.5
"363","Angola",2019,"Other digestive diseases",7.5
"364","Angola",2019,"Kidney diseases",24.1
"365","Angola",2019,"Urolithiasis",0.1
"366","Angola",2019,"Other urinary diseases",6.1
"367","Angola",2019,"Gynecological diseases",0.2
"368","Angola",2019,"Rheumatoid arthritis",0.6
"369","Angola",2019,"Other musculoskeletal disorders",0.8
"370","Angola",2019,"Neural tube defects",2.4
"371","Angola",2019,"Cleft lip and cleft palate",0
"372","Angola",2019,"Down syndrome",0.5
"373","Angola",2019,"Congenital heart anomalies",2.7
"374","Angola",2019,"Other chromosomal anomalies",0.5
"375","Angola",2019,"Other congenital anomalies",3.9
"376","Angola",2019,"Road injury",30.1
"377","Angola",2019,"Poisonings",2.7
"378","Angola",2019,"Falls",8.6
"379","Angola",2019,"Fire, heat and hot substances",3.3
"380","Angola",2019,"Drowning",3.6
"381","Angola",2019,"Exposure to mechanical forces",2.5
"382","Angola",2019,"Natural disasters",0.1
"383","Angola",2019,"Other unintentional injuries",11.1
"384","Angola",2019,"Self-harm",12.6
"385","Angola",2019,"Interpersonal violence",11.7
"386","Angola",2019,"Collective violence and legal intervention",0.1
"387","Argentina",2019,"Tuberculosis",1.3
"388","Argentina",2019,"STDs excluding HIV",0.1
"389","Argentina",2019,"HIV/AIDS",3.3
"390","Argentina",2019,"Diarrhoeal diseases",0.9
"391","Argentina",2019,"Childhood-cluster diseases",0
"392","Argentina",2019,"Meningitis",0.7
"393","Argentina",2019,"Encephalitis",0
"394","Argentina",2019,"Hepatitis",1.2
"395","Argentina",2019,"Parasitic and vector diseases",2.9
"396","Argentina",2019,"Intestinal nematode infections",0
"397","Argentina",2019,"Leprosy",0
"398","Argentina",2019,"Other infectious diseases",15
"399","Argentina",2019,"Lower respiratory infections",60.5
"400","Argentina",2019,"Upper respiratory infections",0
"401","Argentina",2019,"Otitis media",0
"402","Argentina",2019,"Preterm birth complications",3.9
"403","Argentina",2019,"Birth asphyxia and birth trauma",0.7
"404","Argentina",2019,"Neonatal sepsis and infections",0.8
"405","Argentina",2019,"Other neonatal conditions",0.7
"406","Argentina",2019,"Protein-energy malnutrition",1.4
"407","Argentina",2019,"Iodine deficiency",0
"408","Argentina",2019,"Iron-deficiency anaemia",1
"409","Argentina",2019,"Other nutritional deficiencies",0.2
"410","Argentina",2019,"Mouth and oropharynx cancers",2
"411","Argentina",2019,"Oesophagus cancer",3.6
"412","Argentina",2019,"Stomach cancer",6.3
"413","Argentina",2019,"Colon and rectum cancers",15.3
"414","Argentina",2019,"Liver cancer",3.6
"415","Argentina",2019,"Pancreas cancer",8
"416","Argentina",2019,"Trachea, bronchus, lung cancers",18
"417","Argentina",2019,"Melanoma and other skin cancers",1.8
"418","Argentina",2019,"Breast cancer",12.7
"419","Argentina",2019,"Cervix uteri cancer",5
"420","Argentina",2019,"Corpus uteri cancer",1.6
"421","Argentina",2019,"Ovary cancer",2.4
"422","Argentina",2019,"Prostate cancer",7
"423","Argentina",2019,"Testicular cancer",0.6
"424","Argentina",2019,"Kidney cancer",4.3
"425","Argentina",2019,"Bladder cancer",2.7
"426","Argentina",2019,"Brain and nervous system cancers",2.9
"427","Argentina",2019,"Gallbladder and biliary tract cancer",2.7
"428","Argentina",2019,"Larynx cancer",1.7
"429","Argentina",2019,"Thyroid cancer",0.5
"430","Argentina",2019,"Mesothelioma",0.4
"431","Argentina",2019,"Lymphomas, multiple myeloma",4.9
"432","Argentina",2019,"Leukaemia",4.1
"433","Argentina",2019,"Other malignant neoplasms",5
"434","Argentina",2019,"Thalassaemias",0.1
"435","Argentina",2019,"Sickle cell disorders and trait",0
"436","Argentina",2019,"Other haemoglobinopathies and haemolytic anaemias",1.6
"437","Argentina",2019,"Other endocrine, blood and immune disorders",4.7
"438","Argentina",2019,"Bipolar disorder",0
"439","Argentina",2019,"Schizophrenia",0.1
"440","Argentina",2019,"Alcohol use disorders",0.9
"441","Argentina",2019,"Drug use disorders",1.5
"442","Argentina",2019,"Anxiety disorders",0
"443","Argentina",2019,"Idiopathic intellectual disability",0.1
"444","Argentina",2019,"Alzheimer disease and other dementias",4.9
"445","Argentina",2019,"Parkinson disease",1.4
"446","Argentina",2019,"Epilepsy",0.7
"447","Argentina",2019,"Multiple sclerosis",0.2
"448","Argentina",2019,"Other neurological conditions",3.9
"449","Argentina",2019,"Rheumatic heart disease",0.2
"450","Argentina",2019,"Hypertensive heart disease",8.3
"451","Argentina",2019,"Ischaemic heart disease",75.1
"452","Argentina",2019,"Stroke",36.5
"453","Argentina",2019,"Cardiomyopathy, myocarditis, endocarditis",9.1
"454","Argentina",2019,"Other circulatory diseases",24.1
"455","Argentina",2019,"Chronic obstructive pulmonary disease",35.5
"456","Argentina",2019,"Asthma",0.7
"457","Argentina",2019,"Other respiratory diseases",19.3
"458","Argentina",2019,"Peptic ulcer disease",0.8
"459","Argentina",2019,"Cirrhosis of the liver",7.8
"460","Argentina",2019,"Appendicitis",0.1
"461","Argentina",2019,"Gastritis and duodenitis",0.1
"462","Argentina",2019,"Paralytic ileus and intestinal obstruction",2.7
"463","Argentina",2019,"Inflammatory bowel disease",0.1
"464","Argentina",2019,"Gallbladder and biliary diseases",1.4
"465","Argentina",2019,"Pancreatitis",1.5
"466","Argentina",2019,"Other digestive diseases",15.9
"467","Argentina",2019,"Kidney diseases",21.5
"468","Argentina",2019,"Benign prostatic hyperplasia",0.1
"469","Argentina",2019,"Urolithiasis",0
"470","Argentina",2019,"Other urinary diseases",7.5
"471","Argentina",2019,"Rheumatoid arthritis",0.4
"472","Argentina",2019,"Osteoarthritis",0.1
"473","Argentina",2019,"Gout",0
"474","Argentina",2019,"Back and neck pain",0
"475","Argentina",2019,"Other musculoskeletal disorders",1.6
"476","Argentina",2019,"Neural tube defects",0.5
"477","Argentina",2019,"Cleft lip and cleft palate",0
"478","Argentina",2019,"Down syndrome",0.3
"479","Argentina",2019,"Congenital heart anomalies",1.8
"480","Argentina",2019,"Other chromosomal anomalies",0.4
"481","Argentina",2019,"Other congenital anomalies",1.9
"482","Argentina",2019,"Road injury",13.9
"483","Argentina",2019,"Poisonings",0.4
"484","Argentina",2019,"Falls",0.9
"485","Argentina",2019,"Fire, heat and hot substances",0.6
"486","Argentina",2019,"Drowning",0.9
"487","Argentina",2019,"Exposure to mechanical forces",0.3
"488","Argentina",2019,"Other unintentional injuries",10.2
"489","Argentina",2019,"Self-harm",8.1
"490","Argentina",2019,"Interpersonal violence",6.1
"491","Argentina",2019,"Collective violence and legal intervention",0
"492","Armenia",2019,"Tuberculosis",1.2
"493","Armenia",2019,"STDs excluding HIV",0
"494","Armenia",2019,"HIV/AIDS",2
"495","Armenia",2019,"Diarrhoeal diseases",0.4
"496","Armenia",2019,"Childhood-cluster diseases",0
"497","Armenia",2019,"Meningitis",0.2
"498","Armenia",2019,"Encephalitis",0.2
"499","Armenia",2019,"Hepatitis",2
"500","Armenia",2019,"Parasitic and vector diseases",0.1
"501","Armenia",2019,"Intestinal nematode infections",0
"502","Armenia",2019,"Other infectious diseases",1.3
"503","Armenia",2019,"Lower respiratory infections",27.5
"504","Armenia",2019,"Upper respiratory infections",0.1
"505","Armenia",2019,"Otitis media",0.1
"506","Armenia",2019,"Preterm birth complications",4.5
"507","Armenia",2019,"Birth asphyxia and birth trauma",1.2
"508","Armenia",2019,"Neonatal sepsis and infections",0.6
"509","Armenia",2019,"Other neonatal conditions",1
"510","Armenia",2019,"Protein-energy malnutrition",0
"511","Armenia",2019,"Iodine deficiency",0
"512","Armenia",2019,"Vitamin A deficiency",0
"513","Armenia",2019,"Iron-deficiency anaemia",0.1
"514","Armenia",2019,"Other nutritional deficiencies",0.1
"515","Armenia",2019,"Mouth and oropharynx cancers",1.5
"516","Armenia",2019,"Oesophagus cancer",1.2
"517","Armenia",2019,"Stomach cancer",11
"518","Armenia",2019,"Colon and rectum cancers",11.4
"519","Armenia",2019,"Liver cancer",8.8
"520","Armenia",2019,"Pancreas cancer",8.7
"521","Armenia",2019,"Trachea, bronchus, lung cancers",25.2
"522","Armenia",2019,"Melanoma and other skin cancers",1.4
"523","Armenia",2019,"Breast cancer",11.4
"524","Armenia",2019,"Cervix uteri cancer",2.6
"525","Armenia",2019,"Corpus uteri cancer",3.1
"526","Armenia",2019,"Ovary cancer",2.3
"527","Armenia",2019,"Prostate cancer",5.2
"528","Armenia",2019,"Testicular cancer",0.2
"529","Armenia",2019,"Kidney cancer",3.4
"530","Armenia",2019,"Bladder cancer",4.3
"531","Armenia",2019,"Brain and nervous system cancers",5.2
"532","Armenia",2019,"Gallbladder and biliary tract cancer",1.7
"533","Armenia",2019,"Larynx cancer",2.4
"534","Armenia",2019,"Thyroid cancer",1
"535","Armenia",2019,"Mesothelioma",0.5
"536","Armenia",2019,"Lymphomas, multiple myeloma",2.8
"537","Armenia",2019,"Leukaemia",3.8
"538","Armenia",2019,"Other malignant neoplasms",7.9
"539","Armenia",2019,"Thalassaemias",0.1
"540","Armenia",2019,"Sickle cell disorders and trait",0
